+------+--------+----------------------------+-----------+----------------+
| NO.  |  Code  |            Name            |    Area   | Green Coverage |
| 0295 |  5962  |      滨江新城时代广场      |   33595   |      30%       |
| 0296 |  522   |         康乐香港城         |     --    |      30%       |
| 0297 |  7383  |         新西湖小镇         |  126000   |     30.1%      |
| 0298 |  162   |          左家新村          |   120000  |      30%       |
| 0299 | 17446  |          蓝色钱江          |   84255   |      30%       |
| 0300 |  213   |          青园小区          |   40000   |      35%       |
| 0301 |  7118  |        宋都阳光国际        |   265596  |      30%       |
| 0302 |  163   |          锦绣新村          |   102000  |      39%       |
| 0303 |  1295  |          锦绣江南          |   46145   |      40%       |
| 0304 |  513   |          金都新城          |   45356   |      45%       |
| 0305 |  454   |         石灰桥新村         |   10000   |      34%       |
| 0313 |  388   |           金狮苑           |   15000   |      15%       |
| 0314 |  831   |          外东山弄          |   10000   |      35%       |
| 0315 |  955   |         新世纪花苑         |   10000   |      35%       |
| 0316 |  690   |          十五家园          |   13300   |      25%       |
| 0317 |  201   |          星河明苑          |   15000   |      30%       |
| 0318 |  941   |          西子铭苑          |   16300   |      30%       |
| 0319 |  212   |          远大花园          |   10000   |      50%       |
| 0320 |  835   |          庆丰新村          |   86000   |      26%       |
| 0321 |  1121  |        润和紫庭花园        |   36000   |      35%       |
| 0322 |  9157  |         林之语嘉园         |  133340   |      35%       |
| 0323 |   50   |          三水一生          |  124667   |      36%       |
| 0324 | 47022  |          湖畔花园          |   106700  |      40%       |
| 0325 |  931   |          美都广场          |   23532   |      25%       |
| 0326 |  288   |          景芳五区          |     --    |      30%       |
| 0327 |  237   |          金都华庭          |   23726   |      45%       |
| 0328 |   38   |         超级星期天         |   14642   |     39.10%     |
| 0329 |  175   |          塘河新村          |    2503   |      30%       |
| 0330 | 20993  |        绿城西溪诚园        |     --    |      40%       |
| 0331 |  456   |          文三新村          |   10000   |      15%       |
| 0339 |  9685  |          天阳观筑          |   40508   |      30%       |
| 0340 |  1608  |          海威国际          |   55000   |      35%       |
| 0341 |  558   |          华苑公寓          |   102000  |      22%       |
| 0342 |  1469  |          西鉴枫景          |   26668   |      30%       |
| 0343 |  4752  |         凤凰城广场         |   16000   |      30%       |
| 0344 |   40   |        时代长岛之春        |   32784   |      25%       |
| 0345 |  663   |          星星港湾          |  1133390  |     41.5%      |
| 0346 | 183977 |          中江花园          |   59000   |      25%       |
| 0347 |  1011  |          东方金座          |     --    |      10%       |
| 0348 |  306   |          濮家新村          |   10000   |      35%       |
| 0349 |  9334  |          锦昌年华          |   106700  |      30%       |
| 0350 |  1609  |          春江时代          |   63126   |      50%       |
| 0351 |  250   |           凯旋苑           |   48717   |      36%       |
| 0352 |  1594  |        现代印象广场        |   20879   |      35%       |
| 0353 |  536   |          中兴公寓          |   28700   |      38%       |
| 0354 |  1277  |          景城花园          |   16200   |      32%       |
| 0355 |  9490  |        滨江城市之星        |   47455   |      40%       |
| 0356 | 238003 |         世茂茂御居         |   16752   |      21%       |
| 0357 |  210   |          和平小区          |   10000   |      39%       |
| 0365 |  1257  |         大学路新村         |   100000  |      30%       |
| 0366 |  757   |           皇亲苑           |   121000  |      21%       |
| 0367 |  271   |          夕照新村          |   10000   |      35%       |
| 0368 |  217   |          朝晖一区          |   10000   |      10%       |
| 0369 |  4792  |          嘉绿北苑          |   800000  |      38%       |
| 0370 |  456   |          文三新村          |   10000   |      15%       |
| 0371 |  1228  |         温兴风情苑         |   66000   |      35%       |
| 0372 |  324   |        蓝天城市花园        |   25580   |      30%       |
| 0373 |  730   |          树园小区          |   10000   |     38.00%     |
| 0374 |  1516  |          亿城嘉园          |   42000   |     35.2%      |
| 0375 |  497   |         湖畔莲花港         |   47000   |      40%       |
| 0376 | 142193 |          中栋国际          |   170000  |      30%       |
| 0377 |  212   |          远大花园          |   10000   |      50%       |
| 0378 |  411   |          凤凰北苑          |   88735   |      30%       |
| 0379 |  1130  |     良渚文化村白鹭郡北     |  159000   |      40%       |
| 0380 |  1478  |          钛合国际          |   9386    |      25%       |
| 0381 |  1089  |        红石中央花苑        |   36918   |      32%       |
| 0382 |   29   |          银色港湾          |   40020   |      35%       |
| 0383 |  1131  |          逸天广场          |  100000   |      40%       |
| 0391 |  4792  |          嘉绿北苑          |   800000  |      38%       |
| 0392 |  1535  |          晨光绿苑          |   50000   |      30%       |
| 0393 | 142193 |          中栋国际          |   170000  |      30%       |
| 0394 |   34   |          碧水豪园          |   78000   |      40%       |
| 0395 |  1058  |          定海西园          |   10000   |      35%       |
| 0396 |  4025  |          佳境天城          |  170504   |      40%       |
| 0397 |  1228  |         温兴风情苑         |   66000   |      35%       |
| 0398 |  1267  |          中大吴庄          |   30000   |      50%       |
| 0399 |  672   |           水星阁           |   102000  |      26%       |
| 0400 |  1453  |          凯德视界          |   59622   |      30%       |
| 0401 |  997   |         九溪玫瑰园         |  160000   |      58%       |
| 0402 |  619   |          平海公寓          |   16000   |      30%       |
| 0403 |  289   |          景芳六区          |   630000  |      30%       |
| 0404 |  9724  |          康都紫轩          |   13479   |      32%       |
| 0405 |  7268  |          风尚蓝湾          |   10649   |      30%       |
| 0406 |  1507  |          兰韵天城          |   47277   |      30%       |
| 0407 |  1421  |         福雷德广场         |   55200   |      31%       |
| 0408 |  157   |          湖墅嘉园          |   40000   |      30%       |
| 0409 | 13103  |          云厦连园          |   40000   |     30.6%      |
| 0417 |  300   |          钱江三苑          |   10000   |      35%       |
| 0418 |  1257  |         大学路新村         |   100000  |      30%       |
| 0419 |  6468  |          圣苑小区          |   80000   |      40%       |
| 0420 |  1474  |          景上公寓          |   28448   |      30%       |
| 0421 |  205   |          东方豪园          |     --    |      40%       |
| 0422 |  1521  |          浅草名苑          |   39920   |      40%       |
| 0423 |  550   |         维也纳春天         |   45356   |      30%       |
| 0424 |  9293  |          九洲芳园          |   33961   |      35%       |
| 0425 |  6589  |       中兴花园百合苑       |   20000   |      38%       |
| 0426 |  6397  |          泊林公寓          |   43400   |      30%       |
| 0427 |  7119  |        滨江阳光海岸        |   48000   |      48%       |
| 0428 |  954   |          润达花园          |   60000   |      29%       |
| 0429 |  1052  |          金都雅苑          |   202600  |      45%       |
| 0430 |  1513  |           三华园           |   6500    |      27%       |
| 0431 |  961   |           铭雅苑           |    2856   |      30%       |
| 0432 |  768   |          环西新村          |   183262  |      21%       |
| 0433 |  1580  |           多立方           |   48000   |      36%       |
| 0434 |  1261  |          清泰南苑          |    2756   |      30%       |
| 0435 |  957   |          信鸿花园          |   10000   |      40%       |
| 0443 |  1692  |          新帝朗郡          |  100000   |      30%       |
| 0444 |  8411  |        湖畔花园北区        |  106700   |      40%       |
| 0445 |   36   |          通策广场          |   64468   |      40%       |
| 0446 |  4157  |         南肖埠小区         |   63430   |      35%       |
| 0447 | 101655 |         盈都江悦城         |     --    |      60%       |
| 0448 |  1536  |        华鸿汇盛德堡        |   21584   |      37%       |
| 0449 |  315   |        三里新城兰苑        |   63000   |      46%       |
| 0450 |  6063  |     世贸丽晶城欧美中心     |     --    |      35%       |
| 0451 |  1545  |          玉兰公寓          |   15486   |      30%       |
| 0452 |  629   |           后市街           |   35000   |      30%       |
| 0453 |  916   |          丁香公寓          |   6040    |      25%       |
| 0454 |  9580  |         中海金溪园         |   33000   |      30%       |
| 0455 |  9661  |        雅戈尔御西湖        |   36131   |      30%       |
| 0456 |  521   |         亚洲城花园         |   41700   |      35%       |
| 0457 | 37348  |          田园牧歌          |   204000  |      30%       |
| 0458 |  5775  |         孩儿巷小区         |    4500   |      40%       |
| 0459 |  9592  |        大华海派风景        |   60000   |      30%       |
| 0460 |  1232  |          中山北园          |   50000   |       6%       |
| 0461 |  148   |          蓝色霞湾          |   22000   |      55%       |
| 0469 | 97603  |         杭州新天地         |   37000   |      30%       |
| 0470 |  804   |          金祝新村          |   62000   |       7%       |
| 0471 | 21201  |          相江公寓          |   88000   |      40%       |
| 0472 |  138   |           天时苑           |     --    |      30%       |
| 0473 |  1533  |          风林公寓          |   27739   |      48%       |
| 0474 |  155   |          云河大厦          |   102000  |      26%       |
| 0475 |  802   |         松木场河西         |     --    |      20%       |
| 0476 |  1084  |          中豪晴园          |   17476   |      30%       |
| 0477 |   23   |          钱塘名都          |   44000   |      30%       |
| 0478 | 38432  |            积家            |   22500   |      30%       |
| 0479 |  549   |          林语别墅          |  100000   |      70%       |
| 0480 |  4219  |          武林花园          |     --    |      26%       |
| 0481 |  294   |           华家池           |     --    |      40%       |
| 0482 |   48   |          三江花园          |  121399   |      35%       |
| 0483 | 259180 |           云杉郡           |   19806   |      25%       |
| 0484 |  1135  |         临平桂花城         |  210000   |      38%       |
| 0485 | 14822  |           丽阳苑           |     --    |     30.10%     |
| 0486 |  149   |          假山新村          |   65000   |      50%       |
| 0487 |  1108  |           景江苑           |   44022   |      40%       |
| 0495 |  174   |          一清新村          |   102000  |      30%       |
| 0496 |  6523  |      浙江大学港湾家园      |   10000   |      30%       |
| 0497 |   85   |          普金家园          |   5336    |      50%       |
| 0498 |  221   |          朝晖五区          |   80000   |      20%       |
| 0499 | 259180 |           云杉郡           |   19806   |      25%       |
| 0500 | 14822  |           丽阳苑           |     --    |     30.10%     |
| 0501 |  1135  |         临平桂花城         |  210000   |      38%       |
| 0502 |  9580  |         中海金溪园         |   33000   |      30%       |
| 0503 |  1301  |          中兴花园          |     --    |      38%       |
| 0504 |  1046  |          云龙公寓          |   18750   |      30%       |
| 0505 |  1476  |          现代家园          |   240000  |      25%       |
| 0506 |  1560  |          宝善公寓          |   12000   |      30%       |
| 0507 |  523   |          黄龙公寓          |   102000  |      30%       |
| 0508 |  1417  |       拱北小区永兴坊       |     --    |      20%       |
| 0509 |  238   |          星都嘉苑          |   16026   |      30%       |
| 0510 |  1200  |           永宁坊           |     --    |       --       |
| 0511 |  509   |          府新花园          |   10000   |      35%       |
| 0512 |  554   |          天湖公寓          |     --    |      0.5%      |
| 0513 | 17635  |     中海雅戈尔篁外山庄     |     --    |      30%       |
| 0521 |  564   |        阳光地带花园        |   69260   |      30%       |
| 0522 |  1560  |          宝善公寓          |   12000   |      30%       |
| 0523 |  482   |          崇文公寓          |   24322   |     35.2%      |
| 0524 |  4264  |          桃园新村          |     --    |      22%       |
| 0525 |  494   |          桃源春居          |     --    |      35%       |
| 0526 | 28060  |         华元蒙卡岸         |   58103   |      30%       |
| 0527 |  542   |          名仕家园          |   50600   |      35%       |
| 0528 |  6011  |        湖畔花园南区        |     --    |      40%       |
| 0529 |  116   |          三塘沁园          |   10000   |      35%       |
| 0530 | 17046  |          原筑壹号          |   82041   |      30%       |
| 0531 |  1200  |           永宁坊           |     --    |       --       |
| 0532 |  1677  |          星洲翠谷          |  200000   |      35%       |
| 0533 |  1249  |          东园小区          |   10000   |      30%       |
| 0534 |  809   |          友谊新村          |     --    |      30%       |
| 0535 |  187   |         半道红小区         |   102000  |      26%       |
| 0536 |  759   |          胭脂新村          |   140000  |      15%       |
| 0537 | 16944  |          新安嘉苑          |   102000  |      27%       |
| 0538 | 47544  |          丰盛九玺          |   52525   |      30%       |
| 0539 | 44892  |        宝龙城市广场        |     --    |     30.00%     |
| 0547 | 68636  |           和家园           |   580000  |      30%       |
| 0548 |  9170  |     良渚文化村白鹭郡东     |   99000   |      35%       |
| 0549 |  1411  |        大世界五金城        |  111591   |      20%       |
| 0550 |  1197  |          万新大厦          |   12200   |      25%       |
| 0551 |  4220  |         米市巷小区         |   10000   |      25%       |
| 0552 |  703   |           凤起苑           |   50000   |      50%       |
| 0553 |   22   |          天福花园          |   10000   |      35%       |
| 0554 |  1073  |          采荷一区          |   10000   |      35%       |
| 0555 |  976   |         皮市巷小区         |    6000   |      28%       |
| 0556 |  1572  |          蔚蓝公寓          |   17501   |      31%       |
| 0557 |  1018  |          怡景花城          |  130000   |      40%       |
| 0558 |   81   |          北国之春          |   53000   |      30%       |
| 0559 |  100   |           吉庆院           |   10000   |      12%       |
| 0560 | 17060  |          昆仑公馆          |   40858   |      30%       |
| 0561 | 22946  |          西溪晴雪          |   55000   |      30%       |
| 0562 |  990   |         马市街社区         |   10000   |      30%       |
| 0563 |  506   |          丹桂公寓          |   50000   |      36%       |
| 0564 |  1626  |        新湖香格里拉        |   865800  |      65%       |
| 0565 |  794   |         永丰巷小区         |     --    |       --       |
| 0573 |  6327  |          东城丽景          |   49411   |      30%       |
| 0574 |  251   |          清泰小区          |   10000   |      20%       |
| 0575 |  431   |          荆山翠谷          |   28000   |      35%       |
| 0576 |  285   |          景芳二区          |   170000  |      20%       |
| 0577 |  5999  |      钱江国际商务中心      |   6450    |       --       |
| 0578 |  1382  |           潮鸣苑           |     --    |      37%       |
| 0579 |  164   |          五一新村          |   16546   |       5%       |
| 0580 |  1584  |          锦都世家          |   18000   |      31%       |
| 0581 |  120   |          三塘北村          |   10021   |      60%       |
| 0582 |  219   |          朝晖三区          |   10000   |      30%       |
| 0583 | 14672  |         锦绣文澜阁         |     --    |      35%       |
| 0584 |  968   |        万安城市花园        |   20012   |      25%       |
| 0585 |  305   |          濮家东村          |   40000   |      15%       |
| 0586 | 54142  |          闲林山水          |     --    |      35%       |
| 0587 |  508   |          科技新村          |   26050   |      20%       |
| 0588 |  1279  |         海月金棕榈         |   102000  |      35%       |
| 0589 |  1549  |          秋涛雅苑          |   13500   |      30%       |
| 0590 |  270   |          双菱新村          |   70000   |      35%       |
| 0591 |  277   |           商教苑           |     --    |      25%       |
| 0599 |  247   |          流水东苑          |   80000   |      30%       |
| 0600 |  1546  |        雪峰水岸枫庭        |   17936   |      30%       |
| 0601 |  1517  |        大都文苑风情        |   34879   |      35%       |
| 0602 | 110274 |           爱尚里           |   20000   |      25%       |
| 0603 |  4681  |          拱苑小区          |     --    |      30%       |
| 0604 | 25857  |          罗兰春天          |   37098   |      30%       |
| 0605 |  1230  |         毛家桥公寓         |     --    |      29%       |
| 0606 |  651   |          东都公寓          |    6000   |      35%       |
| 0607 |  9762  |        汇鑫星汇荣邸        |   20776   |      32%       |
| 0608 | 17041  |          赞成美树          |   53681   |      30%       |
| 0609 |  182   |          三宝新村          |   40300   |      10%       |
| 0610 | 17638  |           和美家           |   68420   |      30%       |
| 0611 |  469   |          花园南村          |   60000   |      20%       |
| 0612 |  472   |          师苑新村          |   102000  |      27%       |
| 0613 |   9    |          近江八园          |    6500   |      35%       |
| 0614 |  9184  |         东海柠檬郡         |   130732  |      30%       |
| 0615 |  527   |          莲花新村          |     --    |      30%       |
